Lake_Area_km2,Dam_Slope_deg,Lake_Temp_C,Elevation_m,Risk_Index
0.4202,34.01,3.84,3509.8,0.5608
0.152,17.53,4.95,5998.65,0.477
0.304,34.52,4.36,5505.68,0.6282
0.561,25.04,3.72,5466.81,0.6012
1.0652,24.04,3.74,4774.32,0.7208
1.1203,9.98,5.2,4250.17,0.6493
0.019,31.46,1.63,3878.16,0.3499
0.6689,17.82,0.01,4211.69,0.3874
0.5485,9.87,1.5,4439.93,0.3455
0.2965,5.38,1.2,5390.78,0.2566
0.1646,21.79,3.64,4849.15,0.4237
0.4455,20.82,3.49,3693.71,0.4502
1.2264,26.58,3.26,3545.07,0.7255
0.4269,31.71,0.09,3755.83,0.4167
0.6792,7.38,4.01,4526.25,0.4591
0.9169,26.94,1.78,5832.98,0.6711
0.4791,10.62,3.66,5093.51,0.4353
1.2636,30.75,3.06,5504.56,0.8438
1.2516,29.57,1.89,4665.94,0.7539
0.3348,21.22,0.74,4404.17,0.348
0.6515,26.31,0.52,3771.0,0.4557
0.3981,14.43,4.57,5689.83,0.5
0.3774,19.14,5.05,5457.9,0.5421
0.0576,29.65,3.57,3920.3,0.4185
0.7963,18.78,0.57,4780.65,0.4779
0.6585,15.73,2.21,4718.44,0.4665
0.0764,19.83,4.01,5062.73,0.4018
0.3695,29.85,4.29,5865.47,0.6202
1.1817,15.06,0.65,4949.43,0.5743
0.319,10.21,0.0,4850.54,0.2397
0.1969,26.36,3.92,3625.81,0.4341
0.6414,29.78,1.96,3657.27,0.5302
1.2815,8.02,1.4,3968.37,0.5327
0.3223,12.2,0.07,3581.18,0.2095
0.8771,9.26,2.97,5358.38,0.5316
0.9925,15.44,4.68,5308.33,0.6802
0.3166,18.51,5.27,3840.14,0.4613
0.9494,27.46,3.11,5590.2,0.7242
0.4844,24.53,2.83,3886.97,0.4777
0.8257,23.63,0.47,4252.94,0.5038
0.8273,15.57,3.02,4122.44,0.5227
0.7011,30.24,2.09,4430.77,0.5882
0.1265,19.14,3.34,4136.66,0.3499
1.0875,34.37,2.14,4722.38,0.7559
0.4238,24.02,1.32,4518.52,0.425
0.2506,8.79,0.52,5966.42,0.27
0.0626,25.29,1.73,3639.82,0.3045
0.7723,14.75,0.53,3855.45,0.3976
0.8841,25.59,0.97,3632.06,0.5319
0.0314,7.09,5.43,5064.6,0.3305
0.6706,10.25,2.44,3636.27,0.3884
0.3022,30.67,2.93,5591.1,0.5461
0.8423,11.82,4.8,4779.85,0.5862
0.2349,30.11,5.48,4817.52,0.5823
0.9013,13.38,3.2,4903.99,0.5645
0.5089,24.29,4.47,3927.03,0.5444
1.2184,25.82,1.8,3994.23,0.6814
0.1874,20.38,1.68,4297.04,0.3253
0.45,14.16,2.21,4983.74,0.3995
0.1564,11.38,3.7,4025.29,0.3012
1.2029,6.0,3.75,3790.83,0.5695
1.1418,14.12,1.73,5925.29,0.6323
0.3427,24.59,0.73,3554.95,0.345
0.8614,33.15,3.48,5506.74,0.756
1.0642,31.14,0.71,5470.09,0.699
0.7262,27.98,3.18,4243.04,0.6086
0.6932,28.65,3.81,3839.07,0.611
0.322,24.95,3.85,3864.07,0.4675
0.1301,12.81,4.14,5243.58,0.3701
1.1674,32.22,4.8,5107.02,0.8742
1.1715,25.12,2.75,5456.86,0.7541
0.8267,21.81,4.02,5843.7,0.6812
0.4473,8.33,3.41,5229.82,0.4022
0.4605,18.41,1.03,3889.63,0.3525
0.9465,18.81,0.14,4108.61,0.4819
1.1673,30.94,1.56,5605.48,0.7653
1.1543,21.4,2.44,4023.27,0.6483
1.016,16.41,3.39,3681.31,0.5838
0.8382,34.3,4.67,5258.2,0.7921
0.1185,8.32,1.08,4506.32,0.1873
0.2185,17.68,0.69,5800.1,0.3359
1.1691,6.26,5.3,5125.64,0.6711
0.7923,27.2,0.59,3726.05,0.5074
0.0219,32.54,2.63,5869.64,0.4761
0.1409,13.4,3.22,4146.39,0.3012
0.8659,30.75,2.98,4343.03,0.6721
0.0165,13.77,0.47,4505.65,0.1804
0.2174,32.32,0.31,3628.06,0.3603
0.7179,27.62,0.58,4741.29,0.5284
0.9025,29.15,3.22,3808.3,0.657
0.851,5.54,2.99,4502.43,0.4582
0.2993,33.88,1.29,4376.77,0.4645
0.9287,26.8,3.51,5432.1,0.7204
0.3161,14.14,4.51,5507.93,0.4628
0.4298,29.88,0.23,3883.53,0.4121
0.973,13.45,2.74,4416.38,0.551
0.848,31.18,3.79,4433.38,0.7033
1.1055,8.38,1.39,3878.53,0.4777
0.8583,26.11,1.69,5496.13,0.6292
0.7431,21.22,3.38,5268.07,0.6042
0.1308,7.9,4.94,3975.95,0.3066
0.4844,12.26,4.45,4416.8,0.4526
0.3521,5.37,3.21,3764.51,0.2817
0.3247,19.06,4.02,5070.52,0.4723
1.2652,14.04,2.01,3803.43,0.5949
0.5171,22.95,3.53,5964.84,0.5828
1.1607,13.92,2.56,5451.71,0.6476
0.8242,14.0,1.04,4475.6,0.4504
1.0353,27.3,3.86,4946.41,0.7508
0.6584,6.44,3.06,5778.35,0.4602
0.7542,32.09,1.97,4885.25,0.6342
0.6453,30.57,5.01,3936.25,0.6602
0.2619,25.03,0.12,4446.76,0.3374
0.942,22.8,1.74,5607.86,0.6329
0.3722,31.77,0.31,5110.53,0.4625
0.0414,10.56,4.22,5126.81,0.3218
0.8427,7.37,3.86,5667.05,0.5495
0.2385,12.19,1.82,5734.93,0.3334
1.2232,28.84,3.72,5799.48,0.8508
1.2406,6.04,2.18,3737.12,0.5223
1.1902,22.48,4.16,4860.32,0.7646
0.4875,34.86,2.5,5351.27,0.6138
0.0299,30.67,2.27,5392.32,0.4303
1.2075,20.64,5.14,5016.79,0.796
0.5624,6.91,1.38,3916.97,0.2991
1.257,29.94,0.66,5493.55,0.7471
1.2531,22.97,3.21,5300.28,0.7712
1.1104,8.45,5.33,3715.34,0.6165
0.3898,7.82,2.08,4659.52,0.309
0.5068,32.29,0.34,3934.94,0.4625
1.108,25.08,1.87,4343.69,0.6576
0.4188,29.88,2.78,3545.2,0.4879
0.2286,31.37,0.89,4500.82,0.4116
0.7283,22.15,3.62,4874.69,0.6006
1.2176,20.52,5.49,5048.96,0.8121
0.9079,17.91,2.48,5158.73,0.5894
0.7454,14.51,1.95,5590.73,0.5083
0.1354,18.04,2.2,4038.66,0.2978
0.8034,28.22,0.63,3801.2,0.524
1.2872,23.06,4.86,5628.84,0.8556
0.1907,31.78,2.28,3891.53,0.4296
0.6786,18.3,2.13,5936.9,0.5406
1.1418,23.21,3.63,5606.35,0.7665
0.9656,23.94,2.43,4752.19,0.6408
0.9092,22.75,3.57,5953.55,0.7027
0.9162,26.08,0.34,3743.44,0.5276
0.4737,12.12,4.48,4257.66,0.4429
0.3887,20.37,5.17,5095.56,0.546
1.0541,8.13,3.57,4375.02,0.5588
1.055,16.54,5.25,5820.93,0.7501
1.1285,19.63,0.83,3664.07,0.5522
1.1881,24.57,2.63,4873.53,0.7267
0.6696,33.52,3.31,4977.17,0.6728
0.657,23.02,3.2,5131.82,0.5811
1.0398,27.31,2.21,4139.17,0.66
0.8485,20.19,1.86,4411.42,0.5382
0.9155,24.02,0.7,5609.2,0.5974
1.0366,7.13,2.15,3987.36,0.4777
1.1581,12.63,0.89,5567.17,0.5796
0.446,15.86,4.04,4906.64,0.4763
0.4945,19.17,1.15,5405.47,0.4345
0.1312,6.37,0.32,5284.02,0.178
0.756,9.2,3.04,4018.78,0.4428
0.0564,13.3,3.27,4922.03,0.3071
0.6106,34.15,4.8,5669.31,0.7419
0.71,14.94,3.17,4580.29,0.505
0.3796,19.46,1.9,5916.48,0.4494
0.7722,10.88,4.42,4630.54,0.5368
0.0493,23.32,2.97,3856.96,0.3373
0.0582,13.42,0.44,4473.59,0.1879
1.0712,11.21,3.11,5879.26,0.6339
0.4746,20.5,4.99,4299.3,0.5352
0.1739,5.17,2.18,5670.25,0.2639
0.6837,5.23,1.63,5703.13,0.4026
1.0033,11.57,0.79,4375.47,0.4716
0.2884,6.1,0.83,3708.14,0.1795
0.8135,8.24,2.38,5311.39,0.4799
0.1201,15.17,3.28,4278.78,0.3174
0.0767,29.08,0.44,5457.31,0.3671
0.6954,22.16,5.17,4606.64,0.6362
0.7074,20.38,4.15,4713.17,0.5918
0.8323,13.8,3.23,5444.77,0.5696
0.9467,32.95,4.56,4455.91,0.7778
1.2688,16.91,0.44,4607.82,0.5957
0.676,7.61,2.62,4440.48,0.4061
0.4266,23.51,3.47,4418.35,0.4957
1.0358,8.42,4.56,4814.87,0.6093
0.3594,15.36,4.31,5522.0,0.4798
0.5763,20.22,1.52,4404.42,0.4421
0.1112,31.23,5.17,4810.64,0.5423
0.0427,19.81,0.68,5176.82,0.2747
1.2518,26.07,4.81,4173.6,0.8105
1.0884,34.78,5.34,4193.81,0.8549
0.9078,8.94,0.97,5833.53,0.4846
0.5375,13.24,3.97,5308.84,0.4956
0.2335,16.84,0.22,4942.97,0.2819
0.2118,17.65,2.23,5119.3,0.3623
0.3328,17.33,2.84,3573.25,0.3571
0.7185,32.23,3.19,5045.26,0.6751
0.9318,26.42,5.15,4773.77,0.7514
0.8617,23.24,3.7,4864.37,0.6535
0.3711,14.28,2.65,4398.56,0.3689
1.2418,29.71,4.45,3703.68,0.8067
0.9619,33.65,5.23,3983.35,0.7939
0.7251,29.64,0.12,5876.86,0.5766
0.7991,5.05,5.4,4521.75,0.5264
0.5513,24.09,0.47,4666.71,0.4399
0.3296,6.53,4.48,3631.77,0.3256
0.4692,12.73,1.54,3593.92,0.3132
0.9876,6.79,0.73,5292.95,0.4603
0.0286,23.11,2.42,4845.24,0.3487
0.1597,25.6,3.54,4771.76,0.4482
0.0693,8.43,2.1,4107.81,0.1943
0.0625,16.52,0.3,5361.88,0.2462
1.1135,18.69,3.3,3920.59,0.6396
0.9177,16.07,4.96,3974.84,0.6195
0.6217,8.63,2.11,4651.78,0.3881
0.1362,17.57,1.19,4215.7,0.2644
0.6442,27.54,2.43,4118.66,0.5474
0.6208,7.13,0.27,5113.09,0.3265
0.2334,7.41,4.51,5127.43,0.3644
0.5697,15.64,4.54,5561.29,0.5569
0.5241,33.25,3.23,4544.27,0.6055
0.8044,25.06,1.94,3682.71,0.5402
0.8293,25.36,4.4,4184.17,0.6599
0.0684,15.86,3.05,5950.01,0.3659
0.4933,22.81,4.54,4990.65,0.572
0.8174,5.3,3.47,5274.34,0.4941
0.659,24.08,4.31,3518.39,0.5666
1.1149,32.4,3.29,4795.51,0.7922
0.8597,23.38,2.28,3593.82,0.5516
0.2202,31.21,5.27,4923.08,0.5838
0.101,26.72,2.98,5801.93,0.4605
0.8387,8.62,3.33,5921.05,0.5499
0.0442,32.07,1.21,4851.38,0.3865
0.7657,6.99,3.44,4645.51,0.4664
1.2229,21.02,3.14,5862.54,0.7651
0.7524,9.26,1.02,5184.02,0.4153
0.5107,5.35,0.33,3662.25,0.2215
0.8398,17.66,3.32,4664.31,0.5771
0.6011,13.85,4.2,4100.61,0.4804
0.7138,19.58,2.88,4674.51,0.5392
1.2245,22.32,1.25,4638.66,0.6591
0.5081,6.31,3.67,4955.36,0.4021
1.2499,8.69,0.44,4391.93,0.5107
1.1779,21.76,2.43,3910.68,0.6537
0.2626,15.3,0.9,4759.3,0.295
0.0995,26.88,1.01,5575.51,0.3808
0.14,24.57,1.11,5160.03,0.3604
0.0335,30.37,2.13,4345.92,0.3819
0.1318,25.77,0.28,5838.81,0.3652
0.8911,17.9,2.19,5780.52,0.5985
0.1018,25.19,2.81,4023.37,0.3704
0.4215,13.26,2.66,3598.54,0.344
1.0999,14.19,2.11,5353.27,0.6109
0.04,28.67,4.62,5569.03,0.5088
1.0607,18.39,0.8,5919.66,0.6099
0.3736,28.95,2.78,5724.59,0.5532
0.1624,29.67,0.34,5001.34,0.3767
0.9088,30.73,0.39,4825.13,0.6102
0.8213,32.5,3.16,3569.6,0.649
1.1419,17.93,3.11,4116.64,0.6428
0.9582,14.57,4.83,4649.04,0.6413
1.0465,22.47,3.07,5071.26,0.6891
0.3738,16.14,5.28,4893.13,0.5011
0.2389,23.03,0.27,5356.59,0.355
0.9783,26.17,0.54,4199.42,0.5729
1.0508,25.65,0.24,4912.38,0.6084
1.2878,16.24,1.02,3720.36,0.5814
0.5423,10.01,2.98,4534.16,0.4024
0.4899,17.92,3.55,5375.4,0.5084
1.0116,9.28,0.25,5233.5,0.4692
0.4496,31.7,5.2,5976.61,0.6982
1.2107,15.38,4.63,4194.73,0.7005
1.1174,9.63,1.63,4745.47,0.5354
0.5634,5.76,0.42,4323.83,0.271
0.9786,24.37,0.93,4601.51,0.5879
0.9834,24.11,0.7,5642.38,0.6204
0.143,15.22,0.68,5210.52,0.2676
1.1743,7.15,2.85,5706.1,0.6145
0.6618,17.29,1.35,4008.78,0.4213
1.0761,14.34,1.97,5683.4,0.613
0.4229,25.31,5.44,3649.41,0.5509
1.1652,23.17,3.76,5721.5,0.7827
0.5121,15.94,5.22,4322.68,0.5169
0.024,11.54,0.78,4286.47,0.1661
1.1779,34.64,2.1,4780.22,0.7869
0.1278,18.62,3.05,5851.73,0.4039
0.4219,25.65,0.42,3619.45,0.3697
1.2356,9.22,0.02,4380.58,0.4952
1.2363,19.57,3.69,5641.43,0.768
0.7497,5.83,3.53,4490.14,0.4486
0.8251,20.16,2.26,3997.89,0.5288
0.5885,33.92,2.69,4561.99,0.6121
0.3882,16.53,2.28,4463.88,0.3826
0.434,6.17,0.13,5788.54,0.2827
0.8775,5.93,1.84,5404.84,0.4639
0.9806,16.64,0.97,4762.79,0.5301
1.0311,9.8,0.54,5970.93,0.5197
1.0286,5.7,5.26,4663.19,0.6031
0.1277,27.69,3.3,3645.59,0.4025
0.6478,18.76,4.01,4155.69,0.5322
0.0843,13.68,1.73,4590.18,0.2497
0.7189,32.0,2.16,3892.26,0.5897
0.5796,8.48,1.3,5868.91,0.3931
1.1551,33.68,0.53,5417.12,0.7401
0.4627,14.42,0.98,4170.72,0.3284
0.161,31.65,4.39,4977.01,0.5395
0.1945,23.09,3.73,5303.62,0.4655
0.9923,29.8,3.01,5853.2,0.7643
0.8075,34.52,2.61,5704.09,0.7274
0.1404,13.65,5.07,4787.98,0.3961
0.1185,33.83,0.4,5436.63,0.4184
0.9143,16.68,1.54,4905.36,0.5365
0.1039,16.57,1.92,4881.76,0.2991
1.0702,15.21,4.3,3786.85,0.6275
0.9211,21.24,5.46,3815.34,0.6766
0.1149,9.62,1.32,4823.83,0.2188
0.1194,21.61,4.81,4172.15,0.4238
1.2828,21.25,4.57,3552.59,0.7451
0.4928,27.86,1.24,5307.1,0.5078
0.4881,30.01,2.2,3581.22,0.4907
1.0585,18.21,2.25,4988.19,0.6231
1.232,14.07,5.38,4847.98,0.7492
1.2819,12.78,0.99,5922.04,0.6369
0.9819,10.84,4.4,4710.53,0.6035
0.4954,6.73,1.84,3659.0,0.2834
0.1177,15.27,4.02,4879.22,0.3685
1.0125,13.11,2.31,5602.74,0.592
0.7303,33.99,3.18,5992.12,0.7314
0.5572,21.73,4.58,4575.86,0.5673
1.1792,15.42,4.42,4300.75,0.6878
0.1534,22.41,4.77,5766.63,0.5034
0.6455,9.18,0.33,3978.11,0.3084
0.0246,18.32,3.81,5038.57,0.3647
0.6146,23.79,0.77,4514.29,0.4616
0.0826,19.67,2.29,3602.71,0.2814
0.1633,17.05,3.02,4368.22,0.3409
0.1616,34.82,2.22,4163.07,0.4554
0.8475,31.41,2.86,5215.23,0.7026
0.9724,23.7,5.48,5871.98,0.7965
0.7625,22.08,0.74,4170.12,0.4776
1.2512,23.62,3.72,5528.66,0.8039
0.4936,11.04,2.18,3638.4,0.3313
0.3786,16.85,0.73,4845.3,0.3413
1.1305,6.18,0.87,3676.38,0.4395
0.2984,19.27,5.22,5835.08,0.5402
1.2526,21.29,4.84,5415.88,0.8205
0.0257,11.83,4.99,5144.87,0.3566
1.2611,33.92,5.45,5559.74,0.9593
0.0657,32.28,1.15,5118.8,0.4035
1.1596,26.66,1.95,5922.36,0.7531
0.6907,21.0,3.68,5284.89,0.5977
1.2909,31.1,2.66,5811.65,0.853
0.1052,8.92,2.3,4792.83,0.2442
0.7245,28.72,1.97,3792.66,0.5524
1.2604,8.74,3.27,4820.44,0.6345
0.6848,28.83,3.17,3817.18,0.5858
0.8219,13.27,0.89,4981.23,0.4582
0.9075,31.31,2.59,4706.23,0.69
0.5964,33.32,3.04,5056.44,0.6419
0.8195,9.46,3.14,3525.12,0.4484
0.7638,18.88,1.16,3987.1,0.4585
1.1725,34.43,4.08,4728.33,0.8534
0.0686,19.5,0.14,5876.26,0.2884
0.3724,30.91,1.95,4459.02,0.4888
1.236,22.66,4.29,4560.93,0.773
1.1584,16.26,3.1,5286.74,0.68
0.5978,13.57,1.44,5009.48,0.413
0.81,11.1,3.82,4247.32,0.5132
0.3678,27.85,3.12,4527.04,0.5064
0.2527,16.6,4.38,4044.25,0.4011
0.6082,20.34,4.04,5915.05,0.605
0.4658,19.77,3.36,3826.59,0.448
0.7629,22.32,2.68,4429.59,0.5607
0.1103,30.97,0.73,3564.6,0.3285
1.267,34.42,1.44,4054.45,0.7594
1.2822,17.23,2.31,5451.18,0.7043
0.9106,29.83,3.3,4002.94,0.676
0.7016,27.94,2.83,3700.16,0.5663
0.4093,22.21,1.59,4686.13,0.4216
1.0598,33.68,0.04,3524.92,0.6172
0.8933,11.01,2.73,3711.92,0.477
0.2198,8.28,1.57,5519.06,0.2765
1.1851,30.62,4.04,5428.68,0.8512
1.0711,18.17,0.13,5787.85,0.5816
1.2352,30.41,3.22,5636.29,0.8433
0.9462,31.79,5.18,5207.94,0.8203
0.8013,6.87,0.96,3630.83,0.3456
0.5495,31.5,2.59,5457.12,0.6115
1.2132,18.45,0.5,5613.78,0.6342
1.1272,20.31,3.44,5497.71,0.7259
0.0683,23.8,3.03,4771.2,0.386
0.044,32.79,2.24,4082.25,0.3993
0.4956,5.57,2.87,5613.32,0.3891
1.0556,19.31,4.93,5317.91,0.7423
1.2836,25.63,1.08,5951.9,0.752
0.204,26.68,0.12,3889.23,0.3114
0.7764,25.78,4.74,4064.16,0.6548
0.5013,9.03,3.17,4029.5,0.3681
1.2612,13.98,4.9,5481.35,0.7653
1.0963,15.76,3.28,3967.27,0.6104
1.0914,29.13,4.46,3666.65,0.7543
0.6146,13.36,2.36,5996.4,0.4893
0.5451,11.32,4.12,3562.04,0.4171
0.3627,33.72,5.02,5588.11,0.6667
0.0827,5.27,3.15,4413.42,0.2217
1.1255,34.93,0.99,5604.04,0.7659
1.0586,25.3,1.48,4886.55,0.6519
1.2996,29.85,1.09,5754.08,0.7855
1.2957,13.84,1.36,5815.48,0.6594
0.7265,5.43,1.69,3522.75,0.3324
1.002,27.14,3.05,3688.53,0.6594
1.2287,30.02,3.23,4125.9,0.7779
1.106,27.21,2.35,5173.29,0.7259
0.3291,9.29,3.38,5720.68,0.3926
0.5912,27.6,0.45,4649.85,0.4808
0.1766,28.07,0.48,5017.43,0.3731
1.2407,24.76,0.95,3971.25,0.6474
0.792,27.98,2.85,5512.42,0.6677
0.3049,30.38,1.18,5918.32,0.4939
0.8765,23.41,1.56,4171.5,0.5539
0.8074,7.66,2.2,4737.06,0.4436
0.472,19.63,4.47,3715.29,0.4846
0.1565,7.33,0.08,4897.84,0.1698
0.8763,17.23,3.57,4756.96,0.5974
0.6812,17.21,3.68,3861.09,0.5054
1.0063,6.98,4.39,4605.17,0.5733
0.681,15.46,5.13,4335.26,0.562
1.1093,8.33,0.11,4804.58,0.4689
0.722,29.25,0.85,4964.14,0.5623
0.7336,33.43,4.87,3521.24,0.6902
1.1409,7.17,2.52,5402.51,0.5802
0.5305,33.65,3.11,5282.54,0.6361
0.1829,20.68,3.65,4415.72,0.4029
0.0471,13.99,3.73,3632.34,0.2753
0.9841,7.31,5.12,5387.33,0.6271
0.8102,20.02,5.48,5887.94,0.7157
0.9183,28.84,3.96,4100.38,0.6978
0.2847,26.21,1.58,4308.81,0.4021
0.1859,6.51,4.84,3959.53,0.3074
0.0288,7.19,0.27,4942.34,0.138
0.4623,17.09,1.27,3887.1,0.3504
0.771,13.86,4.94,4390.48,0.5713
0.516,11.97,1.41,5242.53,0.3823
0.5743,13.43,1.21,4900.29,0.3918
1.1764,29.1,0.76,4466.16,0.6777
0.4592,32.88,4.73,4550.62,0.6371
0.673,17.15,2.75,4905.28,0.5103
1.0209,32.18,3.71,3514.66,0.7254
0.5215,14.64,1.31,3696.27,0.3414
0.8125,19.29,4.17,5703.15,0.6551
1.1224,11.78,4.18,3694.7,0.6061
1.2349,24.21,1.72,5267.01,0.7207
0.1997,34.37,2.26,5800.1,0.5302
1.2053,23.1,1.15,4176.71,0.6377
0.6448,15.73,5.37,4426.23,0.5656
0.3431,24.43,3.55,4922.3,0.501
0.6023,8.69,5.14,5704.27,0.5349
1.2742,31.66,1.67,5854.76,0.8184
0.6455,20.09,4.3,5348.91,0.6011
0.4341,18.48,4.21,3716.55,0.4537
0.8271,22.58,3.8,5172.89,0.6531
0.3198,23.74,5.31,4525.76,0.536
0.1079,7.15,2.16,4676.75,0.2201
0.1763,25.48,0.72,3622.87,0.3037
0.1752,12.26,3.69,3977.66,0.3123
0.206,26.42,4.01,5476.28,0.5147
0.1891,29.68,3.16,4634.9,0.4729
0.8367,29.12,1.14,4254.16,0.5787
0.2446,21.58,2.77,4460.05,0.3994
0.4559,20.61,1.72,5636.0,0.4649
1.1669,9.29,2.35,5372.5,0.599
0.6214,28.26,3.55,4180.79,0.5898
0.8711,13.14,4.1,3793.75,0.5415
0.2323,19.9,1.28,4130.0,0.3138
0.2581,13.53,2.23,5801.89,0.3686
0.0627,9.01,1.48,4953.97,0.2085
0.2279,23.89,1.09,4833.7,0.3679
0.3694,6.63,4.31,4990.98,0.3869
0.2383,27.46,5.0,4415.07,0.5271
0.1244,14.53,2.04,5517.77,0.3177
0.1656,5.0,4.13,4808.22,0.2963
0.6044,20.33,4.93,3791.87,0.5512
0.2762,6.41,4.65,3822.66,0.3219
0.4799,13.29,1.01,4842.15,0.352
0.6594,26.21,5.26,5841.43,0.7125
